,#AUTHID,STATUS,sentiNEG,sentiPOS,sentiNEU,sentiCOMPOUND,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN,DATE,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,Unnamed: 20,Unnamed: 21
30,b7b7764cfa1c523e4e93ab2a79a946c4,insane now,0.73,0,0.27,-0.4019,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-01-2009 04:34,180,14861.6,93.29,0.03,15661,0.49,0.1,,
31,b7b7764cfa1c523e4e93ab2a79a946c4,sleep eight hour tonight shall,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-10-2009 02:56,180,14861.6,93.29,0.03,15661,0.49,0.1,,
32,b7b7764cfa1c523e4e93ab2a79a946c4,hate hormone emotion now well hated lot recently goodness,0.439,0.283,0.278,-0.5859,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/14/09 01:29 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
33,b7b7764cfa1c523e4e93ab2a79a946c4,watch match glasses wish spazzed glee saw store,0,0.535,0.465,0.7845,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-04-2009 06:59,180,14861.6,93.29,0.03,15661,0.49,0.1,,
34,b7b7764cfa1c523e4e93ab2a79a946c4,loved 9 allegory symbolism talking ragdolls satire explosions yes,0,0.524,0.476,0.765,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/20/09 11:55 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
35,b7b7764cfa1c523e4e93ab2a79a946c4,sit futon know soon she'll lie pas out comfortable rolling desk chair is,0,0.216,0.784,0.5106,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-05-2009 01:20,180,14861.6,93.29,0.03,15661,0.49,0.1,,
36,b7b7764cfa1c523e4e93ab2a79a946c4,spend le writing chapter story shell never finish try reading books preferably daytime 300 am,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/15/09 02:27 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
37,b7b7764cfa1c523e4e93ab2a79a946c4,watching kids cartoon wishing old,0,0.322,0.678,0.2263,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-08-2009 02:05,180,14861.6,93.29,0.03,15661,0.49,0.1,,
38,b7b7764cfa1c523e4e93ab2a79a946c4,tomorrow hope teach use cash register,0,0.367,0.633,0.4404,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/30/09 02:01 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
39,b7b7764cfa1c523e4e93ab2a79a946c4,grateful wait ride afternoon open house sleeeep beckons,0,0.3,0.7,0.4588,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10/16/09 01:39 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
40,b7b7764cfa1c523e4e93ab2a79a946c4,confusing internal dilemma also wonder guess is,0.419,0,0.581,-0.3818,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-09-2009 21:23,180,14861.6,93.29,0.03,15661,0.49,0.1,,
41,b7b7764cfa1c523e4e93ab2a79a946c4,think need stop leaving many picture halfdone ideas,0.239,0,0.761,-0.296,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10/23/09 09:57 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
42,b7b7764cfa1c523e4e93ab2a79a946c4,grown weary drawing paranoid soldierhousewife jynx character comic form must thusly sleep replenish desire tirelessly mere audition,0.197,0.13,0.673,-0.1027,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/29/09 02:48 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
43,b7b7764cfa1c523e4e93ab2a79a946c4,seeing 9 tonight maybe,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10/19/09 01:07 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
44,b7b7764cfa1c523e4e93ab2a79a946c4,comics crash futon unconsciousness deserves,0.403,0,0.597,-0.4019,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/24/09 01:28 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
45,b7b7764cfa1c523e4e93ab2a79a946c4,weekend you,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-03-2009 02:27,180,14861.6,93.29,0.03,15661,0.49,0.1,,
46,b7b7764cfa1c523e4e93ab2a79a946c4,listening relient k thinking plants lawyers internships,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10/30/09 07:45 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
47,b7b7764cfa1c523e4e93ab2a79a946c4,drawing instead homeworking Straightface fun good,0,0.608,0.392,0.7351,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10/26/09 12:45 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
48,b7b7764cfa1c523e4e93ab2a79a946c4,sleep champion tonight,0,0.661,0.339,0.5994,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-10-2009 03:24,180,14861.6,93.29,0.03,15661,0.49,0.1,,
49,b7b7764cfa1c523e4e93ab2a79a946c4,dishes webcomics laziness internal lack disruption alright,0.444,0.185,0.37,-0.4215,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/13/09 10:35 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
50,b7b7764cfa1c523e4e93ab2a79a946c4,wish ticklish sometimes now though times,0,0.351,0.649,0.4019,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09-06-2009 00:50,180,14861.6,93.29,0.03,15661,0.49,0.1,,
51,b7b7764cfa1c523e4e93ab2a79a946c4,magical ceiling,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11-01-2009 11:32,180,14861.6,93.29,0.03,15661,0.49,0.1,,
52,b7b7764cfa1c523e4e93ab2a79a946c4,went bed early slept in feel hasn't gotten proper night's sleep,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/23/09 07:17 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
53,b7b7764cfa1c523e4e93ab2a79a946c4,taught use register loveConfusion enjoyed 500Confusion day summer looking forward beach monday,0,0.231,0.769,0.5106,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-12-2009 09:33,180,14861.6,93.29,0.03,15661,0.49,0.1,,
54,b7b7764cfa1c523e4e93ab2a79a946c4,hate fml principle,0.649,0,0.351,-0.5719,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-11-2009 10:33,180,14861.6,93.29,0.03,15661,0.49,0.1,,
55,b7b7764cfa1c523e4e93ab2a79a946c4,realizes traditional medium hate shunned penvcils favor tablet learn em,0.257,0.188,0.556,-0.25,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-05-2009 23:36,180,14861.6,93.29,0.03,15661,0.49,0.1,,
56,b7b7764cfa1c523e4e93ab2a79a946c4,prepared weekend homework morning due realized left necessary binder school ffffffffffff,0,0.16,0.84,0.2263,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11-09-2009 22:50,180,14861.6,93.29,0.03,15661,0.49,0.1,,
57,b7b7764cfa1c523e4e93ab2a79a946c4,early blargedyargdayblah minimum waaaage looove youuu,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/21/09 10:16 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
58,b7b7764cfa1c523e4e93ab2a79a946c4,far away  ship taken far away goshdarnit muse stop awesome,0.154,0.287,0.559,0.4404,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-07-2009 04:29,180,14861.6,93.29,0.03,15661,0.49,0.1,,
59,b7b7764cfa1c523e4e93ab2a79a946c4,excited talent show,0,0.839,0.161,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11-06-2009 03:14,180,14861.6,93.29,0.03,15661,0.49,0.1,,
60,b7b7764cfa1c523e4e93ab2a79a946c4,tired sleep theres cat desk requires supervision,0.326,0,0.674,-0.4404,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-01-2009 02:32,180,14861.6,93.29,0.03,15661,0.49,0.1,,
61,b7b7764cfa1c523e4e93ab2a79a946c4,hate you well found me congratulations worth it thing managed break far heart brave murder ever you care you please proceed andorid hell,0.297,0.384,0.32,0.2023,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-05-2009 22:04,180,14861.6,93.29,0.03,15661,0.49,0.1,,
62,b7b7764cfa1c523e4e93ab2a79a946c4,need stupid fluffy book read inbetween experience normalcy,0.327,0,0.673,-0.5267,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-10-2009 01:23,180,14861.6,93.29,0.03,15661,0.49,0.1,,
63,b7b7764cfa1c523e4e93ab2a79a946c4,late ride dad airport pick mamacita as nowConfusion 1120 pm landing illinois,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/13/09 01:10 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
64,b7b7764cfa1c523e4e93ab2a79a946c4,complete blackberry mom surprised with yes excited cap completely necessary love love love love lovelove,0,0.757,0.243,0.9774,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/13/09 04:21 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
65,b7b7764cfa1c523e4e93ab2a79a946c4,looking forward early january birthday per se potential meet friend,0,0.262,0.738,0.4939,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/28/09 01:47 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
66,b7b7764cfa1c523e4e93ab2a79a946c4,need stop listening normal playlist stop waking feeling missed something big,0.437,0.099,0.464,-0.6249,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-05-2009 02:54,180,14861.6,93.29,0.03,15661,0.49,0.1,,
67,b7b7764cfa1c523e4e93ab2a79a946c4,spews toxic gas personal air bubble super effective,0,0.538,0.462,0.7906,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/15/09 05:03 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
68,b7b7764cfa1c523e4e93ab2a79a946c4,comfortably comfy mildly oversized cotton jacket walmart yay soft love love love,0,0.729,0.271,0.9628,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/17/09 05:21 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
69,b7b7764cfa1c523e4e93ab2a79a946c4,think oviedo play awesome as be sleep though beckons sweetly promise dream pillowrelated comfort all,0,0.646,0.354,0.9371,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/24/09 05:07 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
70,b7b7764cfa1c523e4e93ab2a79a946c4,made nucketful cooky bunch baked fries yes awesome,0,0.531,0.469,0.7783,2.65,3,3.15,3.25,4.4,n,y,n,n,y,06/18/09 05:44 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
71,b7b7764cfa1c523e4e93ab2a79a946c4,made cookies well bunch croissant breakfast piggy various blanket tomorrow afternoon despite late early hour awesomeness,0,0.123,0.877,0.2732,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/21/09 03:58 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
72,b7b7764cfa1c523e4e93ab2a79a946c4,fair idea manage 25 kid cliche need strong gentleman named thirteen wet napkins,0,0.337,0.663,0.6808,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/23/09 04:34 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
73,b7b7764cfa1c523e4e93ab2a79a946c4,saw up also saw two chuck norris movies ffffffffffff weirdest mix ever,0.147,0,0.853,-0.2263,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12-07-2009 20:42,180,14861.6,93.29,0.03,15661,0.49,0.1,,
74,b7b7764cfa1c523e4e93ab2a79a946c4,autobot lunchbox therefore die now news also spent three hour reading webcomic started 1999,0.231,0,0.769,-0.5994,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/26/09 01:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
75,b7b7764cfa1c523e4e93ab2a79a946c4,post office longoverdue copy photoshop friend win game clue,0,0.5,0.5,0.7906,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/30/09 06:45 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
76,b7b7764cfa1c523e4e93ab2a79a946c4,clack lakclak rawr mel haxxxxxx rrrrrrr lolzlolzlolzlolz im hood punk stoopid yo,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07-06-2009 19:25,180,14861.6,93.29,0.03,15661,0.49,0.1,,
77,b7b7764cfa1c523e4e93ab2a79a946c4,are golden,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/31/09 03:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
78,b7b7764cfa1c523e4e93ab2a79a946c4,lumberjack castro hat,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,12/30/09 02:10 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
79,b7b7764cfa1c523e4e93ab2a79a946c4,wake realize slept twelve hour sleep regular sleeping schedule,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,11/30/09 12:31 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
80,b7b7764cfa1c523e4e93ab2a79a946c4,actually mind coloring marker thought yay coloring vividly creepy villainesses,0.208,0.236,0.556,0.1027,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-01-2009 04:37,180,14861.6,93.29,0.03,15661,0.49,0.1,,
81,b7b7764cfa1c523e4e93ab2a79a946c4,think maybe singing along radio eighthour ride help throatcoughchestcold thingvery much,0,0.213,0.787,0.4019,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-02-2009 10:26,180,14861.6,93.29,0.03,15661,0.49,0.1,,
82,b7b7764cfa1c523e4e93ab2a79a946c4,drove gas station number time sent panic behind wheel 6 hate 40 mph zones d,0.383,0.071,0.546,-0.7717,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/30/09 04:57 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
83,b7b7764cfa1c523e4e93ab2a79a946c4,year everybody love best everything see never let bad stuff keep long,0,0.556,0.444,0.9052,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-06-2010 02:49,180,14861.6,93.29,0.03,15661,0.49,0.1,,
84,b7b7764cfa1c523e4e93ab2a79a946c4,48 hour pretty break work clean room dishes rearrange furniture room practive drop spin maybe dozen times xd not right,0.076,0.349,0.576,0.8225,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08-07-2009 07:40,180,14861.6,93.29,0.03,15661,0.49,0.1,,
85,b7b7764cfa1c523e4e93ab2a79a946c4,open requests,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,07/22/09 06:06 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
86,b7b7764cfa1c523e4e93ab2a79a946c4,frankly loss far current internal project,0.315,0,0.685,-0.3182,2.65,3,3.15,3.25,4.4,n,y,n,n,y,08/23/09 03:43 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
87,b7b7764cfa1c523e4e93ab2a79a946c4,gonna stay awake night able pas 9 pm tomorrow todayConfusion,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-07-2010 21:42,180,14861.6,93.29,0.03,15661,0.49,0.1,,
88,b7b7764cfa1c523e4e93ab2a79a946c4,sleep remedies,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-11-2010 10:18,180,14861.6,93.29,0.03,15661,0.49,0.1,,
89,b7b7764cfa1c523e4e93ab2a79a946c4,talk never online am,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/16/10 03:39 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
90,b7b7764cfa1c523e4e93ab2a79a946c4,need stop stressing personal stuff homework beckons bejeweled smirking claw must answer tethered iron responsibility real life,0.239,0,0.761,-0.5719,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/15/10 03:12 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
91,b7b7764cfa1c523e4e93ab2a79a946c4,hair today love,0,0.677,0.323,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-03-2009 09:13,180,14861.6,93.29,0.03,15661,0.49,0.1,,
92,b7b7764cfa1c523e4e93ab2a79a946c4,right pretty fantastic around,0,0.773,0.227,0.7783,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/21/10 01:16 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
93,b7b7764cfa1c523e4e93ab2a79a946c4,feel tomorrow busy nice day,0,0.412,0.588,0.4215,2.65,3,3.15,3.25,4.4,n,y,n,n,y,09/21/09 02:39 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
94,b7b7764cfa1c523e4e93ab2a79a946c4,twoday mad dash finish done time,0.39,0,0.61,-0.4939,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01-07-2010 02:59,180,14861.6,93.29,0.03,15661,0.49,0.1,,
95,b7b7764cfa1c523e4e93ab2a79a946c4,problem main reason facebook join group become fan things,0.205,0.341,0.455,0.2023,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/28/10 01:41 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
96,b7b7764cfa1c523e4e93ab2a79a946c4,three hour nap afternoon sleep it,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,02-02-2010 03:25,180,14861.6,93.29,0.03,15661,0.49,0.1,,
97,b7b7764cfa1c523e4e93ab2a79a946c4,dog hood,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,10-01-2009 23:11,180,14861.6,93.29,0.03,15661,0.49,0.1,,
98,b7b7764cfa1c523e4e93ab2a79a946c4,roll short turkey now,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,02-05-2010 03:55,180,14861.6,93.29,0.03,15661,0.49,0.1,,
99,b7b7764cfa1c523e4e93ab2a79a946c4,breathe feel inside clawing belly button hate pain,0.538,0,0.462,-0.7906,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/31/10 03:38 PM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
100,b7b7764cfa1c523e4e93ab2a79a946c4,reflecting actually ib now,0,0,1,0,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/18/10 02:35 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
101,b7b7764cfa1c523e4e93ab2a79a946c4,class ring changes whoop whoop love,0,0.457,0.543,0.6369,2.65,3,3.15,3.25,4.4,n,y,n,n,y,01/25/10 02:57 AM,180,14861.6,93.29,0.03,15661,0.49,0.1,,
102,318bf822d4f2bd3920367560218619c0,kiss kiss lick love,0,0.907,0.093,0.8689,4.5,4,3,4.5,3.75,y,y,n,y,n,06/27/09 11:21 PM,318,49024.8,97.88,0.02,49584,0.49,0.06,,
103,318bf822d4f2bd3920367560218619c0,lazy put stuff order maybe tomorrow,0.333,0,0.667,-0.3612,4.5,4,3,4.5,3.75,y,y,n,y,n,06/23/09 05:41 AM,318,49024.8,97.88,0.02,49584,0.49,0.06,,
104,318bf822d4f2bd3920367560218619c0,serious crush propname love,0.358,0.519,0.123,0.5106,4.5,4,3,4.5,3.75,y,y,n,y,n,06/23/09 05:41 AM,318,49024.8,97.88,0.02,49584,0.49,0.06,,
105,318bf822d4f2bd3920367560218619c0,bed bugs ewwwww,0,0,1,0,4.5,4,3,4.5,3.75,y,y,n,y,n,06/19/09 12:26 AM,318,49024.8,97.88,0.02,49584,0.49,0.06,,
106,318bf822d4f2bd3920367560218619c0,mosquito bite,0,0,1,0,4.5,4,3,4.5,3.75,y,y,n,y,n,07-10-2009 22:23,318,49024.8,97.88,0.02,49584,0.49,0.06,,
107,318bf822d4f2bd3920367560218619c0,monday thursdays anthony bourdain   forgetting financial trouble,0.31,0,0.69,-0.4019,4.5,4,3,4.5,3.75,y,y,n,y,n,06/20/09 01:41 AM,318,49024.8,97.88,0.02,49584,0.49,0.06,,
